binary_accuracy,f1_score_per_class,f1_score_weighted,loss
0.9874337315559387,"tf.Tensor(
[0.09523809 0.56603765 0.736842   0.89064974 0.4615384  0.7235772
 0.35714284 0.7727272  0.52777773 0.63636357 0.3913043  0.
 0.5333333  0.8169013  0.7248322  0.         0.59999996 0.92571425
 0.86973935 0.7837838  0.939988   0.86956507 0.5517241  0.
 0.65957433], shape=(25,), dtype=float32)",0.8223598003387451,0.03344706445932388
0.9884179830551147,"tf.Tensor(
[0.09523809 0.58914727 0.7350835  0.9148167  0.53061223 0.7674418
 0.29629627 0.744186   0.5945945  0.57142854 0.42553186 0.
 0.62499994 0.8203389  0.8124999  0.         0.6666666  0.9042145
 0.8771228  0.88       0.95120513 0.8544     0.6220096  0.
 0.65957433], shape=(25,), dtype=float32)",0.8374637365341187,0.03179170563817024
0.9886419773101807,"tf.Tensor(
[0.09523809 0.6153846  0.7935779  0.90654206 0.46808505 0.7380952
 0.49999994 0.6829268  0.63157886 0.6956522  0.35555553 0.24999997
 0.7058823  0.82517475 0.8484848  0.         0.59999996 0.9283019
 0.8678861  0.79999995 0.9497932  0.8785942  0.6759259  0.
 0.6736841 ], shape=(25,), dtype=float32)",0.8419845700263977,0.030523523688316345
0.988805890083313,"tf.Tensor(
[0.09090907 0.640845   0.767386   0.90558153 0.5686274  0.76264584
 0.4137931  0.82608694 0.6753247  0.57142854 0.5490196  0.
 0.62499994 0.8367346  0.86060596 0.         0.59999996 0.92775655
 0.87656164 0.81081074 0.94346285 0.87301576 0.6448598  0.
 0.7399999 ], shape=(25,), dtype=float32)",0.8463846445083618,0.029772140085697174
0.9894958734512329,"tf.Tensor(
[0.33333328 0.6064981  0.80365294 0.91696745 0.5940594  0.78461534
 0.6470588  0.82608694 0.6874999  0.63636357 0.5490196  0.
 0.77777773 0.8219178  0.8901733  0.         0.6666666  0.93560606
 0.88426393 0.8571428  0.9526627  0.8676235  0.63809514 0.
 0.6938775 ], shape=(25,), dtype=float32)",0.8564562201499939,0.028397897258400917
0.9902039170265198,"tf.Tensor(
[0.09523809 0.6524823  0.829932   0.9169712  0.6078431  0.82051283
 0.66666657 0.87499994 0.6666666  0.63636357 0.60377353 0.24999997
 0.5333333  0.84175074 0.8690476  0.         0.72727275 0.95202947
 0.8941531  0.8421052  0.95238096 0.8980891  0.6545454  0.30769226
 0.7291666 ], shape=(25,), dtype=float32)",0.8668367862701416,0.027345314621925354
0.990445613861084,"tf.Tensor(
[0.26086956 0.6137184  0.8073394  0.9271592  0.7090908  0.8296296
 0.68571424 0.8510637  0.7317072  0.57142854 0.60377353 0.24999997
 0.8421052  0.8646864  0.8994083  0.         0.59999996 0.94756544
 0.89204246 0.81081074 0.95636785 0.8797468  0.67605627 0.
 0.7692308 ], shape=(25,), dtype=float32)",0.8703937530517578,0.0267941914498806
0.990540087223053,"tf.Tensor(
[0.24999999 0.6759581  0.8227272  0.92203736 0.6792453  0.8581818
 0.49999994 0.82608694 0.6666666  0.8461538  0.6296296  0.59999996
 0.77777773 0.82943135 0.9028571  0.57142854 0.6666666  0.9513108
 0.8978359  0.91139233 0.95299643 0.86708856 0.7321428  0.
 0.745098  ], shape=(25,), dtype=float32)",0.873589038848877,0.02530866116285324
0.9909285306930542,"tf.Tensor(
[0.26086956 0.65505224 0.84632516 0.92523354 0.6274509  0.82909083
 0.6285714  0.9615384  0.7544909  0.79999995 0.67857134 0.59999996
 0.7058823  0.88599336 0.90697664 0.57142854 0.6666666  0.9422718
 0.89789784 0.88311684 0.9583088  0.8917197  0.6727272  0.30769226
 0.76470584], shape=(25,), dtype=float32)",0.8794500231742859,0.02473951131105423
0.9909029006958008,"tf.Tensor(
[0.39999998 0.683274   0.79090905 0.91866523 0.69642854 0.7969924
 0.66666657 0.8510637  0.7674418  0.74999994 0.6545454  0.59999996
 0.8421052  0.88961035 0.93785304 0.57142854 0.7826087  0.9555555
 0.89609724 0.90243894 0.95938784 0.88571423 0.76855886 0.16666666
 0.70103085], shape=(25,), dtype=float32)",0.8795310854911804,0.024393025785684586
0.991869330406189,"tf.Tensor(
[0.32       0.73927385 0.8418708  0.9257913  0.7652173  0.85714275
 0.8499999  0.9615384  0.7976189  0.81481475 0.78124994 0.8333333
 0.8421052  0.8712871  0.93258417 0.57142854 0.8333333  0.95895517
 0.90781564 0.92307687 0.9557522  0.89666134 0.7288888  0.30769226
 0.81904763], shape=(25,), dtype=float32)",0.8947156667709351,0.022992702201008797
0.9918952584266663,"tf.Tensor(
[0.57142854 0.7482993  0.83185834 0.93659043 0.71304345 0.85198545
 0.7894736  0.9411765  0.75       0.8571428  0.6666666  0.59999996
 1.         0.88311684 0.90804595 0.74999994 0.7826087  0.94579434
 0.90853965 0.92499995 0.9588235  0.8962264  0.7377777  0.4285714
 0.7524752 ], shape=(25,), dtype=float32)",0.8943939208984375,0.022529639303684235
0.9921975135803223,"tf.Tensor(
[0.51851845 0.7465753  0.84581494 0.9249999  0.7192981  0.856115
 0.7027027  0.9615384  0.816568   0.8888889  0.78688514 0.72727275
 0.9523809  0.9055375  0.96174854 0.57142854 0.87999994 0.95009243
 0.9134177  0.86075944 0.96135825 0.9015872  0.73873866 0.30769226
 0.7961165 ], shape=(25,), dtype=float32)",0.8985120058059692,0.022023970261216164
0.9921196699142456,"tf.Tensor(
[0.57142854 0.7350993  0.84545445 0.9309278  0.73684204 0.874552
 0.8499999  0.9615384  0.78787875 0.8888889  0.75409836 0.92307687
 0.9        0.8932038  0.92571425 0.74999994 0.7826087  0.95910776
 0.9049773  0.886076   0.96523273 0.8952381  0.7181817  0.16666666
 0.81132066], shape=(25,), dtype=float32)",0.897732675075531,0.021720001474022865
