accuracy,f1_score,loss,val_accuracy,val_f1_score,val_loss,type,epoch
0.6709505319595337,0.6068344116210938,1.2057709693908691,0.7790697813034058,0.7063468098640442,0.8488233089447021,CLF,0
0.7999514937400818,0.7615668773651123,0.6596764922142029,0.7674418687820435,0.7267124652862549,0.7601249814033508,CLF,1
0.852327823638916,0.8274760246276855,0.4817586839199066,0.7693798542022705,0.7286629676818848,0.7662419676780701,CLF,2
0.8790009617805481,0.865669310092926,0.3908720314502716,0.819767415523529,0.7855597734451294,0.6620909571647644,CLF,3
0.9066440463066101,0.8920769691467285,0.3269791901111603,0.8062015771865845,0.7664879560470581,0.6537887454032898,CLF,4
0.917313277721405,0.90355384349823,0.2838355302810669,0.8217054009437561,0.7812076807022095,0.6419570446014404,CLF,5
0.9279825687408447,0.9211761951446533,0.2585635185241699,0.8100775480270386,0.7873411774635315,0.6160861849784851,CLF,6
0.966537356376648,0.9475898146629333,0.1390865594148636,0.8255813717842102,0.7970793843269348,0.7701931595802307,FT,7
0.9660523533821106,0.9605867266654968,0.1508234739303589,0.8255813717842102,0.7992187142372131,0.8427170515060425,FT,8
0.9675073027610779,0.9645754098892212,0.13163545727729797,0.8410852551460266,0.8129410147666931,0.7583357691764832,FT,9
0.9711444973945618,0.966331422328949,0.1168564110994339,0.8449612259864807,0.8155349493026733,0.7542439103126526,FT,10
0.9696896076202393,0.9667263031005859,0.11498420685529709,0.8333333134651184,0.8036246299743652,0.7374169230461121,FT,11
0.9742968082427979,0.9679692983627319,0.11407598108053207,0.8527131676673889,0.8269360661506653,0.7055230736732483,FT,12
0.9692046642303467,0.9659515619277954,0.11417192220687866,0.8294573426246643,0.8088680505752563,0.7458742260932922,FT,13
0.9711444973945618,0.9675557613372803,0.1113039031624794,0.8430232405662537,0.829537034034729,0.6417454481124878,FT,14
0.9738118052482605,0.9700929522514343,0.0966239646077156,0.8410852551460266,0.8175010681152344,0.7559065222740173,FT,15
0.9730843901634216,0.9680874347686768,0.10049138963222504,0.8430232405662537,0.8227709531784058,0.7240495085716248,FT,16
0.9740543365478516,0.9686935544013977,0.10227340459823608,0.8313953280448914,0.8095845580101013,0.8747589588165283,FT,17
0.9728419184684753,0.9690903425216675,0.09309980273246765,0.8275193572044373,0.7984241247177124,0.7939850091934204,FT,18
0.9706595540046692,0.9684711694717407,0.09933815151453018,0.8430232405662537,0.8199753761291504,0.7918767333030701,FT,19
0.9718719720840454,0.9665127992630005,0.104182168841362,0.8449612259864807,0.8219772577285767,0.7439907789230347,FT,20
0.969447135925293,0.9655640721321106,0.10349055379629135,0.8294573426246643,0.810476541519165,0.7622281908988953,FT,21
