accuracy,f1_score,loss,val_accuracy,val_f1_score,val_loss,type,epoch
0.6865454316139221,0.6097471117973328,1.1827850341796875,0.7436399459838867,0.6714820861816406,0.8621411323547363,CLF,0
0.8026666641235352,0.7688339352607727,0.6330957412719727,0.7612524628639221,0.7135525941848755,0.7430718541145325,CLF,1
0.8538181781768799,0.8308232426643372,0.47808364033699036,0.7886496782302856,0.7571233510971069,0.7472341060638428,CLF,2
0.8841212391853333,0.8715366125106812,0.38208821415901184,0.7651663422584534,0.7585183382034302,0.8137184977531433,CLF,3
0.9039999842643738,0.8886168599128723,0.32557737827301025,0.78669273853302,0.7627294063568115,0.6684967875480652,CLF,4
0.83321213722229,0.804882287979126,0.5343575477600098,0.7808219194412231,0.748550295829773,0.9292262196540833,FT,5
0.9190303087234497,0.9037371873855591,0.29489803314208984,0.8140900135040283,0.7965935468673706,0.7962803244590759,FT,6
0.9372121095657349,0.9267569184303284,0.2325446456670761,0.790606677532196,0.7827990055084229,0.7752015590667725,FT,7
0.9505454301834106,0.941702127456665,0.1872035413980484,0.8043052554130554,0.792805016040802,0.8560390472412109,FT,8
0.961696982383728,0.953879714012146,0.16293182969093323,0.7632094025611877,0.74479740858078,1.0418131351470947,FT,9
0.9626666903495789,0.9557705521583557,0.15735779702663422,0.7925636172294617,0.781777024269104,0.9807530045509338,FT,10
0.9692121148109436,0.9640932679176331,0.13211798667907715,0.8258317112922668,0.8003933429718018,0.8955550193786621,FT,11
0.970424234867096,0.9633985161781311,0.12962594628334045,0.8199608325958252,0.8033628463745117,0.8851763010025024,FT,12
0.9692121148109436,0.9638593196868896,0.12625283002853394,0.8140900135040283,0.8029496073722839,0.8423351645469666,FT,13
0.9699394106864929,0.9664932489395142,0.12202633917331696,0.8258317112922668,0.7947686910629272,0.9534224271774292,FT,14
0.9716363549232483,0.967332124710083,0.11732562631368637,0.7886496782302856,0.7691708207130432,1.05805242061615,FT,15
0.9694545269012451,0.9650861024856567,0.11939331889152527,0.8140900135040283,0.7980473637580872,1.0037089586257935,FT,16
0.9689697027206421,0.9680236577987671,0.11497678607702255,0.7984344363212585,0.7825989723205566,0.9717487096786499,FT,17
0.9711515307426453,0.9667165875434875,0.11317884922027588,0.8375734090805054,0.828935980796814,0.8077187538146973,FT,18
0.97357577085495,0.9701801538467407,0.10652196407318115,0.7945205569267273,0.7874014377593994,0.984969973564148,FT,19
